storm_id,fips,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
Arthur-1996,37094,Tropical Storm,0,0,0,0,NA,NA
Arthur-1996,37095,Tropical Storm,0,0,0,0,NA,NA
Fran-1996,50009,Winter Storm,0,0,0,0,5000,NA
Bertha-1996,34019,Heavy Rain,0,0,0,0,NA,NA
Bertha-1996,42069,Heavy Rain,0,0,0,0,NA,NA
Bertha-1996,34015,Heavy Rain,0,0,0,0,NA,NA
Fran-1996,37069,Tornado,5,0,0,0,1.00E+06,NA
Fran-1996,37127,Tornado,0,0,0,0,50000,NA
Fran-1996,17055,Flash Flood,0,0,0,0,8.00E+06,NA
Fran-1996,25011,Flood,0,0,0,0,NA,NA
Bertha-1996,42070,Heavy Rain,0,0,0,0,NA,NA
Fran-1996,31061,Hail,0,0,0,0,5000,20000
Fran-1996,29071,Flash Flood,0,0,0,0,NA,NA
Fran-1996,26053,Flood,0,0,0,0,NA,1.00E+06
Fran-1996,54071,Flash Flood,0,0,0,0,75000,NA
Bertha-1996,10002,Tropical Storm,0,0,0,0,NA,NA
Bertha-1996,10003,Tropical Storm,0,0,0,0,NA,NA
Bertha-1996,10004,Tropical Storm,0,0,0,0,NA,NA
Bertha-1996,34021,Tropical Storm,0,0,0,0,NA,NA
Bertha-1996,24012,Heavy Rain,0,0,0,0,NA,NA
Marco-1996,12021,Funnel Cloud,0,0,0,0,NA,NA
Kyle-1996,32003,Flash Flood,1,0,0,0,10000,NA
Kyle-1996,32003,Hail,0,0,0,0,NA,NA
Arthur-1996,37100,Tropical Storm,0,0,0,0,NA,NA
Arthur-1996,37101,Tropical Storm,0,0,0,0,NA,NA
Arthur-1996,37097,Tropical Storm,0,0,0,0,NA,NA
Fran-1996,18023,Thunderstorm Wind,6,0,0,0,2.00E+06,NA
Fran-1996,31061,Hail,0,0,0,0,NA,4.00E+06
Fran-1996,25011,Flash Flood,0,0,0,0,NA,NA
Bertha-1996,42054,Heavy Rain,0,0,0,0,NA,NA
Arthur-1996,17041,Thunderstorm Wind,0,0,0,0,NA,0
Arthur-1996,42061,Heat,1,0,0,0,NA,NA
Arthur-1996,42068,Heat,0,0,0,0,NA,NA
Fran-1996,50012,Winter Storm,0,0,0,0,5000,NA
Arthur-1996,37045,Tropical Storm,0,0,0,0,NA,NA
Arthur-1996,37046,Tropical Storm,0,0,0,0,NA,NA
Fran-1996,36089,Lightning,0,0,0,0,5000,NA
Fran-1996,36033,Lightning,0,0,0,0,10000,NA
Arthur-1996,42067,Heat,0,0,0,0,NA,NA
Arthur-1996,37103,Tropical Storm,0,0,0,0,NA,NA
Fran-1996,51059,Thunderstorm Wind,0,0,0,0,5.00E+06,NA
Arthur-1996,37080,Tropical Storm,0,0,0,0,NA,NA
Arthur-1996,42070,Heat,0,0,0,0,NA,NA
Fran-1996,19009,Hail,0,0,0,0,10000,NA
Arthur-1996,40109,Hail,0,0,0,0,NA,NA
Arthur-1996,40109,Hail,0,0,0,0,NA,NA
Fran-1996,50010,Winter Storm,0,0,0,0,5000,NA
Arthur-1996,37090,Tropical Storm,0,0,0,0,1.00E+06,NA
Arthur-1996,37091,Tropical Storm,0,0,0,0,NA,NA
Arthur-1996,42062,Heat,0,0,0,0,NA,NA
Fran-1996,50001,Winter Storm,0,0,0,0,NA,NA
Fran-1996,36033,Strong Wind,0,0,0,0,NA,NA
Bertha-1996,13119,Hurricane (Typhoon),0,0,0,0,NA,NA
Bertha-1996,13138,Hurricane (Typhoon),0,0,0,0,NA,NA
Bertha-1996,34023,Tropical Storm,0,0,0,0,NA,NA
Bertha-1996,34024,Tropical Storm,0,0,0,0,NA,NA
Bertha-1996,34025,Tropical Storm,0,0,0,0,NA,NA
Bertha-1996,34016,Heavy Rain,0,0,0,0,NA,NA
Bertha-1996,45045,Hurricane (Typhoon),0,0,0,0,NA,NA
Bertha-1996,45047,Hurricane (Typhoon),0,0,0,0,NA,NA
Bertha-1996,45048,Hurricane (Typhoon),0,0,0,0,NA,NA
Bertha-1996,45049,Hurricane (Typhoon),0,0,0,0,NA,NA
Bertha-1996,42060,Heavy Rain,0,0,0,0,NA,NA
Bertha-1996,13140,Hurricane (Typhoon),0,0,0,0,NA,NA
Bertha-1996,13117,Hurricane (Typhoon),0,0,0,0,NA,NA
Bertha-1996,13118,Hurricane (Typhoon),0,0,0,0,NA,NA
Fran-1996,21073,Hail,0,0,0,0,NA,NA
Bertha-1996,45044,Hurricane (Typhoon),0,0,0,0,NA,NA
Fran-1996,26147,Flash Flood,0,0,0,0,2.50E+07,NA
Bertha-1996,42062,Heavy Rain,0,0,0,0,NA,NA
Fran-1996,50011,Hail,0,0,0,0,NA,NA
Fran-1996,26053,Flood,0,0,0,0,NA,NA
Bertha-1996,37129,Lightning,0,0,0,0,NA,NA
Arthur-1996,45046,Tropical Storm,0,0,0,0,NA,NA
Bertha-1996,34018,Heavy Rain,0,0,0,0,NA,NA
Bertha-1996,34022,Tropical Storm,0,0,0,0,NA,NA
Fran-1996,51067,Hail,0,0,0,0,1.00E+06,NA
Arthur-1996,42071,Heat,0,0,1,0,NA,NA
Arthur-1996,42055,Heat,0,0,0,0,NA,NA
Arthur-1996,37047,Tropical Storm,0,0,0,0,NA,NA
Arthur-1996,37079,Tropical Storm,0,0,0,0,NA,NA
Fran-1996,34041,Thunderstorm Wind,0,0,0,0,NA,NA
Fran-1996,34037,Thunderstorm Wind,0,0,0,0,NA,NA
