YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
199907,1084374,5706779,1,,,,,,,
199907,1084374,5706780,1,,,,,,,
199906,2408951,5706285,1,,,ANNISTON,33.65,-85.83,3339,8550
199906,2408343,5706286,1,,,OPELIKA,32.65,-85.37,3239,8522
199912,2413130,5722686,1,2,NE,MISSION VIEJO,,,,
199912,2413782,5722687,1,,,CARDIFF BY THE SEA,,,,
199912,2413782,5722688,1,,,CARDIFF BY THE SEA,,,,
199912,2414479,5722689,1,,,SANTA ANA,,,,
199912,1088198,5722690,1,,,COSTA MESA,,,,
199912,2414480,5722691,1,,,OCEANSIDE,,,,
199912,2414481,5722692,1,,,SMITHVILLE,34.47,-94.63,3428,9438
199912,2414481,5722693,1,,,WATSON,34.43,-94.55,3426,9433
199907,2410008,5708140,1,,,LILBURN,33.88,-84.13,3353,8408
199907,2410012,5708141,1,,,FAYETTEVILLE,33.45,-84.45,3327,8427
199907,2410012,5708144,1,,,STEWART,33.42,-83.87,3325,8352
199907,2410012,5708145,2,,,FOREST PARK,33.62,-84.37,3337,8422
199907,2410012,5708146,1,6,W,MAXWELL,33.42,-83.77,3325,8346
199907,2410012,5708147,2,,,BOSTWICK,33.73,-83.52,3344,8331
199907,2410012,5708148,1,3,N,KENNESAW,,,,
199907,2409373,5709410,1,,,,,,,
199906,2409352,5708684,1,4,SW,DOUSMAN,42.98,-88.52,4259,8831
199907,2409373,5709417,1,,,,,,,
199912,2414662,5720894,1,,,MANA,,,,
199912,2414628,5721292,1,,,,,,,
199912,1088676,5721293,1,,,,,,,
199911,2413854,5721056,1,,,COUNTYWIDE,,,,
199911,2413854,5721057,1,,,COUNTYWIDE,,,,
199911,2413854,5721058,1,,,COUNTYWIDE,,,,
199911,2413855,5721059,1,,,,,,,
199912,2413863,5721513,1,,,,,,,
199912,2413903,5720950,1,,,,,,,
199911,1088460,5720951,1,,,,,,,
199912,2414073,5721306,1,,,,,,,
199912,2414072,5721299,1,,,,,,,
199912,2414073,5721307,1,,,,,,,
199906,2410352,5708856,1,,,COUNTYWIDE,31.58,-83.87,3135,8352
199906,2410352,5708857,1,,,SYLVESTER,,,,
199906,2410352,5708858,1,,,SYLVESTER,31.53,-83.85,3132,8351
199906,2410353,5708859,1,,,NORTHEAST PORTION,30.22,-84.22,3013,8413
199906,2410353,5708860,1,,,COUNTYWIDE,30.72,-85.22,3043,8513
199906,2409352,5708741,1,,,WEST BEND,,,,
199906,2410312,5708742,1,4,E,TITUSVILLE,,,,
199906,2410312,5708743,1,,,LEESBURG,28.8,-81.87,2848,8152
199906,2410312,5708744,1,,,ASTATULA,28.7,-81.73,2842,8144
199906,2410312,5708745,1,,,DELTONA,28.9,-81.23,2854,8114
199906,2410312,5708746,1,,,KISSIMMEE,28.3,-81.4,2818,8124
199907,2409374,5709442,1,,,,,,,
199910,1087901,5722200,1,,,TINKER AFB,35.42,-97.38,3525,9723
199909,2412971,5722307,1,,,,,,,
199909,2412971,5722308,1,,,,,,,
199912,1088767,5722062,1,,,,,,,
199911,2414499,5722063,1,,,,,,,
199911,2414499,5722064,1,,,,,,,
199910,1087901,5722202,2,4,S,MC LOUD,35.37,-97.1,3522,9706
199910,1087901,5722203,1,2,W,COURTNEY,33.93,-97.53,3356,9732
199909,2412969,5722177,1,,,,,,,
199909,2412970,5722182,1,,,,,,,
199906,2409011,5706189,1,,,BENNDALE,30.87,-88.8,3052,8848
199906,2409513,5706190,1,,,RAINSVILLE,34.5,-85.87,3430,8552
199906,2409513,5706191,1,,,RAINSVILLE,,,,
199906,2408334,5706192,1,,,,,,,
