FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
199907,30,0,1003617,5711314,D,7/30/99 12:00,72,M,Permanent Home,199907
199907,25,0,1003618,5711315,D,7/25/99 12:00,61,M,Permanent Home,199907
199907,31,0,1003619,5711316,D,7/31/99 12:00,48,M,Other,199907
199907,31,0,1003620,5710105,D,7/31/99 12:00,86,F,Permanent Home,199907
199907,23,0,1003621,5710202,D,7/23/99 12:00,76,M,Mobile/Trailer Home,199907
199907,28,0,1003623,5710202,D,7/28/99 12:00,52,F,Permanent Home,199907
199907,30,0,1003624,5710202,D,7/30/99 12:00,74,M,Permanent Home,199907
199907,31,0,1003625,5710202,D,7/31/99 12:00,68,M,Permanent Home,199907
199907,31,0,1003626,5710202,D,7/31/99 12:00,80,M,Permanent Home,199907
199907,24,0,1003628,5710205,D,7/24/99 12:00,47,M,Outside/Open Areas,199907
199907,26,0,1003629,5710205,D,7/26/99 12:00,43,F,Outside/Open Areas,199907
199907,25,0,1003630,5710227,D,7/25/99 12:00,69,M,Other,199907
199907,26,0,1003631,5710227,D,7/26/99 12:00,70,M,Other,199907
199907,27,0,1003632,5710227,D,7/27/99 12:00,73,M,Other,199907
199907,31,0,1003633,5710227,D,7/31/99 12:00,74,M,Other,199907
199907,31,0,1003634,5710227,D,7/31/99 12:00,75,F,Other,199907
199907,22,0,1003635,5710228,D,7/22/99 12:00,75,M,Permanent Home,199907
199907,24,0,1003636,5710228,D,7/24/99 12:00,56,M,Permanent Home,199907
199907,24,0,1003637,5710228,D,7/24/99 12:00,72,F,Permanent Home,199907
199907,24,0,1003638,5710228,D,7/24/99 12:00,86,F,Permanent Home,199907
199907,26,0,1003640,5710228,D,7/26/99 12:00,68,M,Permanent Home,199907
199907,26,0,1003641,5710228,D,7/26/99 12:00,87,F,Permanent Home,199907
199907,26,0,1003642,5710228,D,7/26/99 12:00,65,M,Permanent Home,199907
199907,26,0,1003643,5710228,D,7/26/99 12:00,88,F,Permanent Home,199907
199907,26,0,1003644,5710228,D,7/26/99 12:00,85,F,Permanent Home,199907
199907,26,0,1003646,5710228,D,7/26/99 12:00,89,F,Permanent Home,199907
199907,26,0,1003647,5710228,D,7/26/99 12:00,69,F,Permanent Home,199907
199907,27,0,1003648,5710228,D,7/27/99 12:00,75,F,Permanent Home,199907
199907,27,0,1003649,5710228,D,7/27/99 12:00,73,F,Permanent Home,199907
199907,27,0,1003651,5710228,D,7/27/99 12:00,83,M,Permanent Home,199907
199907,28,0,1003652,5710228,D,7/28/99 12:00,43,M,Other,199907
199907,28,0,1003653,5710228,D,7/28/99 12:00,76,F,Permanent Home,199907
199907,28,0,1003654,5710228,D,7/28/99 12:00,73,M,Permanent Home,199907
199907,6,0,1003417,5701089,D,7/6/99 12:00,56,M,Other,199907
199907,6,0,1003418,5701089,D,7/6/99 12:00,65,M,Other,199907
199907,6,0,1003419,5701089,D,7/6/99 12:00,76,F,Other,199907
199907,7,0,1003420,5701089,D,7/7/99 12:00,47,F,Other,199907
199907,7,0,1003421,5701089,D,7/7/99 12:00,68,F,Other,199907
199907,25,0,1003377,5698450,D,7/25/99 12:00,14,M,Heavy Equipment/Construction,199907
199907,5,0,1003400,5702091,D,7/5/99 12:00,14,M,Under Tree,199907
199907,5,0,1003402,5701088,D,7/5/99 12:00,79,F,Other,199907
199907,5,0,1003403,5701088,D,7/5/99 12:00,89,F,Other,199907
199907,6,0,1003404,5701088,D,7/6/99 12:00,48,M,Other,199907
199907,6,0,1003405,5701088,D,7/6/99 12:00,53,M,Other,199907
199907,6,0,1003406,5701088,D,7/6/99 12:00,60,M,Other,199907
199907,6,0,1003407,5701088,D,7/6/99 12:00,68,M,Other,199907
199907,6,0,1003408,5701088,D,7/6/99 12:00,90,F,Other,199907
